"germination_position_ID","germination_seedling_ID","species","functional_group","date_measurement","date_sowing","collector","seed_origin","height_vegetative_str","leaf_length1","leaf_length2","leaf_length3","number_leaves","dry_mass"
"CHE.hi.exp2.warm.bare.01.080","CHE.hi.exp2.warm.bare.01.080.1","cenjac","forb",2023-09-05,2022-10-10,"EI","commercial",45,45,45,36,7,0.0541
"CHE.hi.exp2.warm.bare.01.080","CHE.hi.exp2.warm.bare.01.080.2","cenjac","forb",2023-09-05,2022-10-10,"EI","commercial",43,40,40,41,4,0.0392
"CHE.hi.exp2.warm.vege.01.005","CHE.hi.exp2.warm.vege.01.005.1","brapin","graminoid",2023-09-04,2022-10-10,"EI","collected",61,56,44,32,3,0.0052
"CHE.hi.exp2.warm.vege.01.039","CHE.hi.exp2.warm.vege.01.039.1","brapin","graminoid",2023-09-04,2022-10-10,"EI","collected",65,56,46,19,3,0.0031
"CHE.hi.exp2.warm.vege.01.085","CHE.hi.exp2.warm.vege.01.085.1","brapin","graminoid",2023-09-04,2022-10-10,"EI","collected",51,44,34,NA,2,0.0028
"CHE.hi.exp2.warm.vege.01.028","CHE.hi.exp2.warm.vege.01.028.1","cenjac","forb",2023-09-04,2022-10-10,"EI","commercial",45,41,31,20,3,0.0042
"CHE.hi.exp2.warm.vege.01.038","CHE.hi.exp2.warm.vege.01.038.1","cenjac","forb",2023-09-04,2022-10-10,"EI","commercial",27,27,18,NA,2,0.0018
"CHE.hi.exp2.warm.vege.01.028","CHE.hi.exp2.warm.vege.01.028.2","cenjac","forb",2023-09-04,2022-10-10,"EI","commercial",30,29,28,NA,2,0.0026
"CHE.hi.exp2.warm.vege.01.070","CHE.hi.exp2.warm.vege.01.070.1","cenjac","forb",2023-09-04,2022-10-10,"EI","commercial",32,32,22,NA,2,0.0019
"CHE.hi.exp2.warm.vege.01.054","CHE.hi.exp2.warm.vege.01.054.1","cenjac","forb",2023-09-04,2022-10-10,"EI","commercial",42,42,28,18,3,0.0034
