"","Species","Min_Altitude","Max_Altitude","Avg_Altitude","SpeciesAverageCover","NumberOfSites","AltitudeRange"
"582","Aconitum.napellus.L.",1581.9,2233.3,1996.34666666667,1.47333333333333,15,651.4
"583","Vaccinium.uliginosum.aggr.",1848.2,2254.9,2005.675,5.3,16,406.7
"584","Geranium",1748.3,1748.3,1748.3,0.1,1,0
"585","Laserpitium.latifolium.L.",1205.4,1997.2,1581.36470588235,0.858823529411765,17,791.8
"586","Melampyrum.pratense.L.",746,1053.5,891.466666666667,0.733333333333333,3,307.5
"587","Gymnocarpium.dryopteris..L...Newman",1460.3,1460.3,1460.3,0.1,1,0
"588","Hieracium.prenanthoides.aggr.",1460.3,1460.3,1460.3,0.1,1,0
"589","Castanea.sativa.Mill.",1050.8,1050.8,1050.8,0.1,1,0
"590","Polygala",1745.9,1745.9,1745.9,0.1,1,0
"591","Carex.mucronata.All.",2020.2,2736.2,2228.35384615385,1.86923076923077,13,716
