unique_plot_ID,veg_height
CHE.lo.ambi.vege.wf.08,324
CHE.lo.ambi.vege.wf.07,292
CHE.lo.ambi.vege.wf.06,432
CHE.lo.ambi.vege.wf.10,178
CHE.lo.ambi.vege.wf.04,422
CHE.lo.ambi.vege.wf.01,361
CHE.lo.ambi.vege.wf.02,214
CHE.lo.ambi.vege.wf.05,352
CHE.lo.ambi.vege.wf.03,481
CHE.hi.ambi.vege.wf.02,130
CHE.hi.ambi.vege.nf.02,65
CHE.hi.warm.vege.nf.02,48
CHE.hi.warm.vege.wf.02,59
CHE.hi.ambi.vege.wf.03,58
CHE.hi.warm.vege.nf.03,31
CHE.hi.warm.vege.wf.03,55
CHE.hi.ambi.vege.nf.03,59
CHE.hi.warm.vege.wf.05,96
CHE.hi.ambi.vege.nf.05,51
CHE.hi.warm.vege.nf.05,66
CHE.hi.ambi.vege.wf.05,54
CHE.hi.warm.vege.wf.04,42
CHE.hi.warm.vege.wf.01,62
CHE.hi.warm.vege.nf.04,52
CHE.hi.ambi.vege.wf.04,194
CHE.hi.ambi.vege.nf.04,65
CHE.hi.ambi.vege.wf.01,128
CHE.hi.ambi.vege.wf.06,75
CHE.hi.ambi.vege.nf.06,104
CHE.hi.warm.vege.nf.06,54
CHE.hi.warm.vege.wf.06,40
CHE.hi.warm.vege.wf.07,50
CHE.hi.ambi.vege.wf.07,49
CHE.hi.ambi.vege.nf.08,52
CHE.hi.ambi.vege.wf.08,118
CHE.hi.warm.vege.nf.08,52
CHE.hi.warm.vege.wf.08,74
CHE.hi.warm.vege.nf.09,41
CHE.hi.ambi.vege.nf.09,64
CHE.hi.warm.vege.wf.09,65
CHE.hi.ambi.vege.wf.09,66
CHE.hi.warm.vege.nf.10,42
CHE.hi.ambi.vege.wf.10,222
CHE.hi.warm.vege.wf.10,76
CHE.hi.ambi.vege.nf.10,54
CHE.lo.ambi.vege.wf.09,138
CHE.lo.ambi.vege.wf.08,190
CHE.lo.ambi.vege.wf.07,278
CHE.lo.ambi.vege.wf.06,454
CHE.lo.ambi.vege.wf.10,665
CHE.lo.ambi.vege.wf.04,354
CHE.lo.ambi.vege.wf.01,275
CHE.lo.ambi.vege.wf.02,136
CHE.lo.ambi.vege.wf.05,500
CHE.lo.ambi.vege.wf.03,90
CHE.hi.ambi.vege.wf.02,60
CHE.hi.ambi.vege.nf.02,188
CHE.hi.warm.vege.nf.02,47
CHE.hi.warm.vege.wf.02,50
CHE.hi.ambi.vege.wf.03,72
CHE.hi.warm.vege.nf.03,144
CHE.hi.warm.vege.wf.03,79
CHE.hi.ambi.vege.nf.03,84
CHE.hi.warm.vege.wf.05,73
CHE.hi.ambi.vege.nf.05,70
CHE.hi.warm.vege.nf.05,32
CHE.hi.ambi.vege.wf.05,63
CHE.hi.warm.vege.wf.04,100
CHE.hi.warm.vege.wf.01,34
CHE.hi.warm.vege.nf.04,60
CHE.hi.ambi.vege.wf.04,150
CHE.hi.ambi.vege.nf.04,85
CHE.hi.ambi.vege.wf.01,134
CHE.hi.ambi.vege.wf.06,69
CHE.hi.ambi.vege.nf.06,74
CHE.hi.warm.vege.nf.06,10
