site,species,treat_combi,vital_rate,N_size,slope,intercept,se.intercept,se.slope,sigma,r_mean,r_sd,treat_warm,treat_comp,L,U
lo,daucar,bare.ambi,number_seeds,24,0.32653172355489124,7.450813783087866,0.07750933294837703,0.0062455395815779816,NA,NA,NA,ambi,bare,-4.539570040763867,1.6931834168893787
lo,daucar,bare.ambi,germ_rate,60,NA,-1.3182408978627016,0.12914704388113846,NA,NA,NA,NA,ambi,bare,-4.539570040763867,1.6931834168893787
lo,daucar,bare.ambi,establishment,60,NA,-3.283463458854242,0.6758690731307706,NA,NA,NA,NA,ambi,bare,-4.539570040763867,1.6931834168893787
lo,daucar,bare.ambi,recruit_size,235,NA,NA,NA,NA,NA,-2.5299558062830174,1.5264730635407098,ambi,bare,-4.539570040763867,1.6931834168893787
lo,daucar,vege.ambi,survival,86,-0.5733139632124241,-0.13276112942273624,0.23488668690797093,0.18176360794297874,NA,NA,NA,ambi,vege,-8.289306334778564,3.481587605426265
lo,daucar,vege.ambi,size_t1_log,9,1.5174759769941406,0.9966773360887863,0.7180936004971047,0.4450436901347857,0.7057031664461567,NA,NA,ambi,vege,-8.289306334778564,3.481587605426265
lo,daucar,vege.ambi,flower_status,95,1.2387811649494322,-0.1759022222101554,0.37607596636974344,0.3201761654937681,NA,NA,NA,ambi,vege,-8.289306334778564,3.481587605426265
lo,daucar,vege.ambi,number_seeds,24,0.32653172355489124,6.7185371248978925,0.07609405528947828,0.0062455395815779816,NA,NA,NA,ambi,vege,-8.289306334778564,3.481587605426265
lo,daucar,vege.ambi,germ_rate,60,NA,-1.7788560634831638,0.1499223609267792,NA,NA,NA,NA,ambi,vege,-8.289306334778564,3.481587605426265
lo,daucar,vege.ambi,establishment,60,NA,-1.1612153824193485,0.4674482649561834,NA,NA,NA,NA,ambi,vege,-8.289306334778564,3.481587605426265
lo,daucar,vege.ambi,recruit_size,235,NA,NA,NA,NA,NA,-2.5299558062830174,1.5264730635407098,ambi,vege,-8.289306334778564,3.481587605426265
