site,species,treat_combi,vital_rate,N_size,slope,intercept,se.intercept,se.slope,sigma,r_mean,r_sd,treat_warm,treat_comp,L,U
hi,hypper,vege.warm,number_seeds,83,1.0529355682443398,6.429268103981252,0.1787110250173421,0.061577811854884035,NA,NA,NA,warm,vege,-4.1485892828882385,-0.6977436343229582
hi,hypper,vege.warm,germ_rate,57,NA,-3.2188758057853066,0.19624293414209407,NA,NA,NA,NA,warm,vege,-4.1485892828882385,-0.6977436343229582
hi,hypper,vege.warm,establishment,49,NA,-1.1939224672096767,0.3609684767965023,NA,NA,NA,NA,warm,vege,-4.1485892828882385,-0.6977436343229582
hi,hypper,vege.warm,recruit_size,202,NA,NA,NA,NA,NA,-3.5479282833167405,0.7572952265462148,warm,vege,-4.1485892828882385,-0.6977436343229582
hi,medlup,bare.ambi,survival,178,0.5094681803170168,0.9649089124907143,0.31851030606866637,0.11741568138368293,NA,NA,NA,ambi,bare,-4.950551500300376,0.808818303814006
hi,medlup,bare.ambi,size_t1_log,62,NA,-1.5227967543573986,0.4701259663659378,NA,1.2064593034134337,NA,NA,ambi,bare,-4.950551500300376,0.808818303814006
hi,medlup,bare.ambi,flower_status,193,0.8919482044569105,1.8201367783331666,0.3556559714191402,0.14099979087618156,NA,NA,NA,ambi,bare,-4.950551500300376,0.808818303814006
hi,medlup,bare.ambi,number_seeds,82,1.0037978740032123,6.342465035710863,0.12809688003379546,0.015619206555899105,NA,NA,NA,ambi,bare,-4.950551500300376,0.808818303814006
hi,medlup,bare.ambi,germ_rate,161,NA,-1.2719775333885275,0.08889816194156153,NA,NA,NA,NA,ambi,bare,-4.950551500300376,0.808818303814006
hi,medlup,bare.ambi,establishment,161,NA,1.239645595203563,0.3739933625346567,NA,NA,NA,NA,ambi,bare,-4.950551500300376,0.808818303814006
hi,medlup,bare.ambi,recruit_size,230,NA,NA,NA,NA,NA,-3.905880469767414,0.9972040010485738,ambi,bare,-4.950551500300376,0.808818303814006
hi,medlup,bare.warm,survival,178,0.5094681803170168,0.9649089124907143,0.31851030606866637,0.11741568138368293,NA,NA,NA,warm,bare,-5.138661768357698,0.28841019029152776
hi,medlup,bare.warm,size_t1_log,62,NA,-2.118375594648307,0.4856879487441378,NA,1.2064593034134337,NA,NA,warm,bare,-5.138661768357698,0.28841019029152776
hi,medlup,bare.warm,flower_status,193,0.8919482044569105,1.8201367783331666,0.3556559714191402,0.14099979087618156,NA,NA,NA,warm,bare,-5.138661768357698,0.28841019029152776
hi,medlup,bare.warm,number_seeds,82,1.0084427881395839,6.275222709716372,0.129294536967216,0.019848135159411327,NA,NA,NA,warm,bare,-5.138661768357698,0.28841019029152776
hi,medlup,bare.warm,germ_rate,161,NA,-1.2719775333885275,0.08889816194156153,NA,NA,NA,NA,warm,bare,-5.138661768357698,0.28841019029152776
hi,medlup,bare.warm,establishment,161,NA,-0.15391438816651948,0.3527028186533159,NA,NA,NA,NA,warm,bare,-5.138661768357698,0.28841019029152776
hi,medlup,bare.warm,recruit_size,230,NA,NA,NA,NA,NA,-3.905880469767414,0.9972040010485738,warm,bare,-5.138661768357698,0.28841019029152776
hi,medlup,vege.ambi,survival,178,0.5094681803170168,0.9649089124907143,0.31851030606866637,0.11741568138368293,NA,NA,NA,ambi,vege,-6.30377660406956,-1.595645597877499
hi,medlup,vege.ambi,size_t1_log,62,NA,-2.6338502472175787,0.6196136644420108,NA,1.2064593034134337,NA,NA,ambi,vege,-6.30377660406956,-1.595645597877499
hi,medlup,vege.ambi,flower_status,193,0.8919482044569105,1.8201367783331666,0.3556559714191402,0.14099979087618156,NA,NA,NA,ambi,vege,-6.30377660406956,-1.595645597877499
