unique_plant_ID,species,functional_group,date_planting,survival_2021,survival_2022,survival_2023,flower_status_2021,flower_status_2022,flower_status_2023,biomass_comb_2021,biomass_comb_2022,biomass_comb_2023,number_seeds_2021,number_seeds_2022,number_seeds_2023,height_vegetative_str_2021,height_vegetative_str_2022,height_vegetative_str_2023,number_leaves_2021,number_leaves_2022,number_leaves_2023
CHE.lo.ambi.bare.wf.07.07.2,broere,graminoid,2021-06-22,1,0,0,0,NA,NA,0.02445612501723819,NA,NA,0,NA,NA,192,NA,NA,3,NA,NA
CHE.lo.ambi.bare.wf.07.08.2,brapin,graminoid,2021-06-22,1,1,1,0,0,0,0.12288935530051799,0.6301818285599415,2.65,0,0,0,189,168,231,16,49,170
CHE.lo.ambi.bare.wf.07.09.2,medlup,legume,2021-06-22,1,1,0,1,1,NA,0.5330458508226249,2.7654128539910374,NA,103.63636363636363,3813.8181818181815,NA,64,197,NA,180,298,NA
CHE.lo.ambi.bare.wf.07.10.2,plamed,forb,2021-06-22,1,1,1,0,1,0,2.2792607267299014,2.1482967334650063,1.46,0,6160.388888888889,0,65,62,72,15,8,19
CHE.lo.ambi.bare.wf.07.11.1,silvul,forb,2021-06-16,1,1,0,1,1,NA,2.222957831819829,3.0815898098274825,NA,3545.2666666666664,2047.2666666666664,NA,123,216,NA,252,310,NA
CHE.lo.ambi.bare.wf.07.12.2,daucar,forb,2021-06-22,1,0,0,0,NA,NA,2.1206950653587473,NA,NA,0,NA,NA,235,NA,NA,16,NA,NA
CHE.lo.ambi.bare.wf.07.13.2,daucar,forb,2021-06-22,1,0,0,0,NA,NA,1.3462093455748934,NA,NA,0,NA,NA,176,NA,NA,14,NA,NA
CHE.lo.ambi.bare.wf.07.14.2,cenjac,forb,2021-06-22,1,1,1,0,1,1,1.1403142183733952,11.48314284901488,9.63,0,561.6,499.2,156,452,407,26,243,149
CHE.lo.ambi.bare.wf.07.15.2,hypper,forb,2021-06-22,1,1,1,0,1,1,1.4322370016267363,35.14740955446438,13.28,0,65307.5,31559,166,605,494,404,2700,948
CHE.lo.ambi.bare.wf.07.16.2,brapin,graminoid,2021-06-22,1,1,1,0,1,0,0.22540071748969162,4.092250215470172,2.33,0,62.30769230769231,0,160,386,147,28,176,158
CHE.lo.ambi.bare.wf.07.17.2,plamed,forb,2021-06-22,1,1,0,1,1,NA,1.2846412032706114,6.235498853497381,NA,1760.111111111111,4400.277777777777,NA,97,106,NA,13,16,NA
CHE.lo.ambi.bare.wf.07.18.2,hypper,forb,2021-06-22,1,1,1,0,1,1,2.090455084400275,62.021998047475016,11.71,0,123820,36617.5,152,604,350,584,4544,1380
CHE.lo.ambi.bare.wf.07.19.2,salpra,forb,2021-06-22,1,1,1,0,1,0,0.6324219672321708,2.6947026032556067,1.59,0,697.4545454545455,0,109,298,113,12,18,37
CHE.lo.ambi.bare.wf.07.20.2,silvul,forb,2021-06-22,1,1,1,1,1,0,1.3012208549286142,2.0602965670733937,0.0643,1797.6,1847.5333333333333,0,117,260,79,164,142,27
CHE.lo.ambi.bare.wf.07.21.1,medlup,legume,2021-06-16,1,1,1,1,0,0,1.3359610982828345,0.23148791915548966,1.091,1181.4545454545455,0,0,186,20,84,109,13,84
CHE.lo.ambi.bare.wf.07.22.3,silvul,forb,2021-09-21,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE.lo.ambi.bare.wf.07.23.4,scacol,forb,2021-06-28,1,1,1,0,1,1,0.09914816840131481,31.496612048850313,37.31,0,5239.4000000000005,3519,42,621,601,9,284,388
