unique_plant_ID,species,functional_group,date_measurement,date_planting,collector,flower_status,biomass,height_vegetative_str,number_leaves
CHE.hi.warm.bare.wf.08.04.1,broere,graminoid,2021-06-24,2021-06-17,EI,0,0.037513745689392836,361,3
CHE.hi.warm.bare.wf.08.05.1,hypper,forb,2021-06-24,2021-06-17,EI,0,0.033872991320408365,47,24
CHE.hi.warm.bare.wf.08.06.1,scacol,forb,2021-06-24,2021-06-17,EI,0,0.08132760039800796,40,10
CHE.hi.warm.bare.wf.08.07.1,broere,graminoid,2021-06-24,2021-06-17,EI,0,0.059552952383964956,246,5
CHE.hi.warm.bare.wf.08.08.1,brapin,graminoid,2021-06-24,2021-06-17,EI,0,0.00788711297468193,68,3
CHE.hi.warm.bare.wf.08.09.1,medlup,legume,2021-06-24,2021-06-17,EI,0,0.0848458994126503,84,9
CHE.hi.warm.bare.wf.08.10.1,plamed,forb,2021-06-24,2021-06-17,EI,0,0.07734718116762075,62,4
CHE.hi.warm.bare.wf.08.11.1,silvul,forb,2021-06-24,2021-06-17,EI,0,0.05630158465338607,76,12
CHE.hi.warm.bare.wf.08.12.1,daucar,forb,2021-06-24,2021-06-17,EI,0,0.27793715741623404,182,5
CHE.hi.warm.bare.wf.08.13.1,daucar,forb,2021-06-24,2021-06-17,EI,0,0.03503126325692616,103,3
CHE.hi.warm.bare.wf.08.14.1,cenjac,forb,2021-06-24,2021-06-17,EI,0,0.10599970636313683,144,6
CHE.hi.warm.bare.wf.08.15.1,hypper,forb,2021-06-24,2021-06-17,EI,0,0.024488945106053674,38,18
CHE.hi.warm.bare.wf.08.16.1,brapin,graminoid,2021-06-24,2021-06-17,EI,0,0.02274222034606965,185,4
CHE.hi.warm.bare.wf.08.17.1,plamed,forb,2021-06-24,2021-06-17,EI,0,0.08843911795322,40,5
CHE.hi.warm.bare.wf.08.18.1,hypper,forb,2021-06-24,2021-06-17,EI,0,0.012582562377054747,41,10
CHE.hi.warm.bare.wf.08.19.1,salpra,forb,2021-06-24,2021-06-17,EI,0,0.08145087107218918,42,7
CHE.hi.warm.bare.wf.08.20.1,silvul,forb,2021-06-24,2021-06-17,EI,0,0.06212659927747206,71,14
CHE.hi.warm.bare.wf.08.21.1,medlup,legume,2021-06-24,2021-06-17,EI,0,0.04285080991887732,94,6
CHE.hi.warm.bare.wf.08.22.1,silvul,forb,2021-06-24,2021-06-17,EI,0,0.053898277636754345,74,12
CHE.hi.warm.bare.wf.08.23.1,scacol,forb,2021-06-24,2021-06-17,EI,0,0.04239789103801268,33,7
CHE.hi.warm.bare.wf.08.24.1,scacol,forb,2021-06-24,2021-06-17,EI,0,0.03444472779878689,43,5
CHE.hi.warm.bare.wf.08.25.1,cenjac,forb,2021-06-24,2021-06-17,EI,0,0.0760659558119962,144,5
CHE.hi.warm.bare.wf.08.26.1,salpra,forb,2021-06-24,2021-06-17,EI,0,0.1427454344186167,58,8
CHE.hi.warm.bare.wf.08.27.1,medlup,legume,2021-06-24,2021-06-17,EI,0,0.00564074802792624,48,3
CHE.hi.warm.bare.wf.08.28.1,salpra,forb,2021-06-24,2021-06-17,EI,0,0.09065256404194977,49,8
CHE.hi.warm.bare.wf.08.29.1,plamed,forb,2021-06-24,2021-06-17,EI,0,0.14874588112253384,65,5
CHE.hi.warm.bare.wf.08.30.2,cenjac,forb,2021-06-24,2021-06-24,EI,0,0.07953375240908615,152,5
CHE.hi.ambi.bare.wf.08.01.1,brapin,graminoid,2021-06-24,2021-06-17,EI,0,0.04445867402811875,182,5
CHE.hi.ambi.bare.wf.08.02.1,daucar,forb,2021-06-24,2021-06-17,EI,0,0.09908438636304456,175,3
CHE.hi.ambi.bare.wf.08.03.1,broere,graminoid,2021-06-24,2021-06-17,EI,0,0.05404824499649949,290,4
CHE.hi.ambi.bare.wf.08.04.1,broere,graminoid,2021-06-24,2021-06-17,EI,0,0.06838663282883585,407,4
CHE.hi.ambi.bare.wf.08.05.1,hypper,forb,2021-06-24,2021-06-17,EI,0,0.022380627823162216,59,14
CHE.hi.ambi.bare.wf.08.06.1,scacol,forb,2021-06-24,2021-06-17,EI,0,0.14077498215249842,64,8
CHE.hi.ambi.bare.wf.08.07.1,broere,graminoid,2021-06-24,2021-06-17,EI,0,0.05091661086137014,303,4
CHE.hi.ambi.bare.wf.08.08.1,brapin,graminoid,2021-06-24,2021-06-17,EI,0,0.1527645107616731,239,11
CHE.hi.ambi.bare.wf.08.09.1,medlup,legume,2021-06-24,2021-06-17,EI,0,0.04396337840001601,71,7
CHE.hi.ambi.bare.wf.08.10.1,plamed,forb,2021-06-24,2021-06-17,EI,0,7.391443306852555e-4,34,2
CHE.hi.ambi.bare.wf.08.11.1,silvul,forb,2021-06-24,2021-06-17,EI,0,0.18743210539451122,134,24
CHE.hi.ambi.bare.wf.08.12.1,daucar,forb,2021-06-24,2021-06-17,EI,0,0.23688953841657456,158,5
CHE.hi.ambi.bare.wf.08.13.1,daucar,forb,2021-06-24,2021-06-17,EI,0,0.18256828985470921,170,4
CHE.hi.ambi.bare.wf.08.14.1,cenjac,forb,2021-06-24,2021-06-17,EI,0,0.10052645138893906,182,5
CHE.hi.ambi.bare.wf.08.15.1,hypper,forb,2021-06-24,2021-06-17,EI,0,0.057704405991093305,69,30
CHE.hi.ambi.bare.wf.08.16.1,brapin,graminoid,2021-06-24,2021-06-17,EI,0,0.050611383364197286,152,7
CHE.hi.ambi.bare.wf.08.17.1,plamed,forb,2021-06-24,2021-06-17,EI,0,0.09073426210335667,55,5
CHE.hi.ambi.bare.wf.08.18.1,hypper,forb,2021-06-24,2021-06-17,EI,0,0.04827921680201991,66,26
CHE.hi.ambi.bare.wf.08.19.1,salpra,forb,2021-06-24,2021-06-17,EI,0,0.10014833529465827,53,7
CHE.hi.ambi.bare.wf.08.20.1,silvul,forb,2021-06-24,2021-06-17,EI,0,0.11448978475585869,124,16
CHE.hi.ambi.bare.wf.08.21.1,medlup,legume,2021-06-24,2021-06-17,EI,0,0.029538491750180067,63,6
CHE.hi.ambi.bare.wf.08.22.1,silvul,forb,2021-06-24,2021-06-17,EI,0,0.04237910762655629,62,11
CHE.hi.ambi.bare.wf.08.23.1,scacol,forb,2021-06-24,2021-06-17,EI,0,0.10265005765693959,66,7
CHE.hi.ambi.bare.wf.08.24.1,scacol,forb,2021-06-24,2021-06-17,EI,0,0.1124059941164064,50,10
CHE.hi.ambi.bare.wf.08.25.1,cenjac,forb,2021-06-24,2021-06-17,EI,0,0.08842036520379869,170,5
CHE.hi.ambi.bare.wf.08.26.1,salpra,forb,2021-06-24,2021-06-17,EI,0,0.09996168089132787,49,8
CHE.hi.ambi.bare.wf.08.27.1,medlup,legume,2021-06-24,2021-06-17,EI,0,0.045366676600434856,87,7
CHE.hi.ambi.bare.wf.08.28.1,salpra,forb,2021-06-24,2021-06-17,EI,0,0.11687836814831155,49,8
CHE.hi.ambi.bare.wf.08.29.1,plamed,forb,2021-06-24,2021-06-17,EI,0,0.08097822517413981,66,4
CHE.hi.ambi.bare.wf.08.30.2,cenjac,forb,2021-06-24,2021-06-24,EI,0,0.05522349482171114,108,5
CHE.hi.warm.vege.wf.08.01.1,brapin,graminoid,2021-06-24,2021-06-24,EI,0,0.04458019445719508,186,5
CHE.hi.warm.vege.wf.08.02.1,daucar,forb,2021-06-24,2021-06-17,EI,0,0.0766676990426476,119,4
CHE.hi.warm.vege.wf.08.03.1,broere,graminoid,2021-06-24,2021-06-17,EI,0,0.05143530369430235,241,5
CHE.hi.warm.vege.wf.08.04.1,broere,graminoid,2021-06-24,2021-06-24,EI,0,0.07683464842056441,236,6
CHE.hi.warm.vege.wf.08.05.1,hypper,forb,2021-06-24,2021-06-17,EI,0,0.03616250296419003,68,20
CHE.hi.warm.vege.wf.08.06.1,scacol,forb,2021-06-24,2021-06-17,EI,0,0.07623243741932897,60,6
CHE.hi.warm.vege.wf.08.07.1,broere,graminoid,2021-06-24,2021-06-17,EI,0,0.07127405075165844,298,5
CHE.hi.warm.vege.wf.08.08.1,brapin,graminoid,2021-06-24,2021-06-17,EI,0,0.04683071996987423,217,4
CHE.hi.warm.vege.wf.08.09.1,medlup,legume,2021-06-24,2021-06-17,EI,0,0.04033617055532154,76,6
CHE.hi.warm.vege.wf.08.10.1,plamed,forb,2021-06-24,2021-06-17,EI,0,0.1102309400439973,61,5
CHE.hi.warm.vege.wf.08.11.1,silvul,forb,2021-06-24,2021-06-17,EI,0,0.05723800968695452,78,12
CHE.hi.warm.vege.wf.08.12.1,daucar,forb,2021-06-24,2021-06-17,EI,0,0.1537589244026187,158,4
CHE.hi.warm.vege.wf.08.13.1,daucar,forb,2021-06-24,2021-06-17,EI,0,0.10594464099860783,124,4
CHE.hi.warm.vege.wf.08.14.1,cenjac,forb,2021-06-24,2021-06-17,EI,0,0.08614561421679208,126,6
CHE.hi.warm.vege.wf.08.15.1,hypper,forb,2021-06-24,2021-06-17,EI,0,0.04670337892439749,60,26
CHE.hi.warm.vege.wf.08.16.1,brapin,graminoid,2021-06-24,2021-06-17,EI,0,0.015991305187883977,121,3
CHE.hi.warm.vege.wf.08.17.1,plamed,forb,2021-06-24,2021-06-17,EI,0,0.4551993724749778,88,6
CHE.hi.warm.vege.wf.08.18.1,hypper,forb,2021-06-24,2021-06-17,EI,0,0.013441529699413863,31,12
CHE.hi.warm.vege.wf.08.19.1,salpra,forb,2021-06-24,2021-06-17,EI,0,0.17015859077361886,68,8
CHE.hi.warm.vege.wf.08.20.1,silvul,forb,2021-06-24,2021-06-17,EI,0,0.14386576495576794,110,22
CHE.hi.warm.vege.wf.08.21.1,medlup,legume,2021-06-24,2021-06-17,EI,0,0.04779447672421888,82,6
CHE.hi.warm.vege.wf.08.22.1,silvul,forb,2021-06-24,2021-06-17,EI,0,0.11962142660750816,116,18
CHE.hi.warm.vege.wf.08.23.1,scacol,forb,2021-06-24,2021-06-17,EI,0,0.08133594009550171,53,8
CHE.hi.warm.vege.wf.08.24.1,scacol,forb,2021-06-24,2021-06-17,EI,0,0.03663260314169478,39,6
CHE.hi.warm.vege.wf.08.25.1,cenjac,forb,2021-06-24,2021-06-17,EI,0,0.0615612964426379,88,6
CHE.hi.warm.vege.wf.08.26.1,salpra,forb,2021-06-24,2021-06-17,EI,0,0.253025522743411,75,10
CHE.hi.warm.vege.wf.08.27.1,medlup,legume,2021-06-24,2021-06-17,EI,0,0.023829033918815582,72,5
CHE.hi.warm.vege.wf.08.28.1,salpra,forb,2021-06-24,2021-06-17,EI,0,0.1578742985439152,84,6
CHE.hi.warm.vege.wf.08.29.1,plamed,forb,2021-06-24,2021-06-17,EI,0,0.23474762750685896,63,6
CHE.hi.warm.vege.wf.08.30.1,cenjac,forb,2021-06-24,2021-06-17,EI,0,0.07491323893360659,106,6
CHE.hi.warm.bare.wf.09.01.1,brapin,graminoid,2021-06-24,2021-06-17,EI,0,0.024656200318767616,86,6
CHE.hi.warm.bare.wf.09.02.1,daucar,forb,2021-06-24,2021-06-17,EI,0,0.1459339597814695,130,5
CHE.hi.warm.bare.wf.09.03.1,broere,graminoid,2021-06-24,2021-06-17,EI,0,0.08111534235430892,286,6
CHE.hi.warm.bare.wf.09.04.1,broere,graminoid,2021-06-24,2021-06-17,EI,0,0.06590368852689571,375,4
CHE.hi.warm.bare.wf.09.05.1,hypper,forb,2021-06-24,2021-06-17,EI,0,0.01396923739643426,31,12
CHE.hi.warm.bare.wf.09.06.2,scacol,forb,2021-06-24,2021-06-24,EI,0,0.012181502632733803,23,4
CHE.hi.warm.bare.wf.09.07.1,broere,graminoid,2021-06-24,2021-06-17,EI,0,0.047103849098238955,308,4
