unique_plant_ID,species,functional_group,date_measurement,date_planting,collector,survival,flower_status,biomass_comb,number_seeds,height_vegetative_str,number_leaves,year
CHE.lo.ambi.bare.wf.07.11.1,silvul,forb,2021-08-16,2021-06-16,PS,1,1,2.222957831819829,3545.2666666666664,123,252,2021
CHE.lo.ambi.bare.wf.07.12.2,daucar,forb,2021-08-16,2021-06-22,PS,1,0,2.1206950653587473,0,235,16,2021
CHE.lo.ambi.bare.wf.07.13.2,daucar,forb,2021-08-16,2021-06-22,PS,1,0,1.3462093455748934,0,176,14,2021
CHE.lo.ambi.bare.wf.07.14.2,cenjac,forb,2021-08-16,2021-06-22,PS,1,0,1.1403142183733952,0,156,26,2021
CHE.lo.ambi.bare.wf.07.15.2,hypper,forb,2021-08-16,2021-06-22,PS,1,0,1.4322370016267363,0,166,404,2021
CHE.lo.ambi.bare.wf.07.16.2,brapin,graminoid,2021-08-16,2021-06-22,PS,1,0,0.22540071748969162,0,160,28,2021
CHE.lo.ambi.bare.wf.07.17.2,plamed,forb,2021-08-16,2021-06-22,PS,1,1,1.2846412032706114,1760.111111111111,97,13,2021
CHE.lo.ambi.bare.wf.07.18.2,hypper,forb,2021-08-16,2021-06-22,PS,1,0,2.090455084400275,0,152,584,2021
CHE.lo.ambi.bare.wf.07.19.2,salpra,forb,2021-08-16,2021-06-22,PS,1,0,0.6324219672321708,0,109,12,2021
CHE.lo.ambi.bare.wf.07.20.2,silvul,forb,2021-08-16,2021-06-22,PS,1,1,1.3012208549286142,1797.6,117,164,2021
CHE.lo.ambi.bare.wf.07.21.1,medlup,legume,2021-08-16,2021-06-16,PS,1,1,1.3359610982828345,1181.4545454545455,186,109,2021
CHE.lo.ambi.bare.wf.07.22.3,silvul,forb,NA,2021-09-21,NA,NA,NA,NA,NA,NA,NA,2021
CHE.lo.ambi.bare.wf.07.23.4,scacol,forb,2021-08-16,2021-06-28,PS,1,0,0.09914816840131481,0,42,9,2021
CHE.lo.ambi.bare.wf.07.24.3,scacol,forb,2021-08-16,2021-06-24,PS,1,0,0.4414886256660284,0,70,18,2021
CHE.lo.ambi.bare.wf.07.25.2,cenjac,forb,2021-08-16,2021-06-22,PS,1,0,1.4695542686027652,0,203,26,2021
CHE.lo.ambi.bare.wf.07.26.2,salpra,forb,2021-08-16,2021-06-22,PS,1,0,0.6572913135261556,0,82,16,2021
CHE.lo.ambi.bare.wf.07.27.2,medlup,legume,2021-08-16,2021-06-22,PS,1,0,0.19217885593635894,0,31,26,2021
CHE.lo.ambi.bare.wf.07.28.2,salpra,forb,2021-08-16,2021-06-22,PS,1,0,0.8672271998455859,0,100,18,2021
CHE.lo.ambi.bare.wf.07.29.2,plamed,forb,2021-08-16,2021-06-22,PS,1,1,2.719389024568377,2640.1666666666665,73,13,2021
CHE.lo.ambi.bare.wf.07.30.2,cenjac,forb,2021-08-16,2021-06-22,PS,1,0,1.192156552942892,0,199,24,2021
CHE.lo.ambi.bare.wf.06.01.2,brapin,graminoid,2021-08-16,2021-06-22,PS,1,0,0.13888630422393894,0,140,19,2021
CHE.lo.ambi.bare.wf.06.02.2,daucar,forb,2021-08-16,2021-06-22,PS,1,0,0.5469968686512198,0,165,10,2021
CHE.lo.ambi.bare.wf.06.03.2,broere,graminoid,2021-08-16,2021-06-22,PS,1,0,0.4916734195676406,0,240,36,2021
CHE.lo.ambi.bare.wf.06.04.2,broere,graminoid,2021-08-16,2021-06-22,PS,1,0,0.13162903607156376,0,127,17,2021
CHE.lo.ambi.bare.wf.06.05.2,hypper,forb,2021-08-16,2021-06-22,PS,1,0,0.36470229588612735,0,102,146,2021
